"COD_CIR";"id_key";"RR";"id";"cat_casos";"data"
35011;"RR_casos";;"casos";"0";"2023-12-27"
35012;"RR_casos";;"casos";"0";"2023-12-27"
35013;"RR_casos";;"casos";"0";"2023-12-27"
35014;"RR_casos";;"casos";"0";"2023-12-27"
35015;"RR_casos";;"casos";"0";"2023-12-27"
35016;"RR_casos";;"casos";"0";"2023-12-27"
35021;"RR_casos";;"casos";"0";"2023-12-27"
35022;"RR_casos";;"casos";"0";"2023-12-27"
35023;"RR_casos";;"casos";"0";"2023-12-27"
35031;"RR_casos";;"casos";"0";"2023-12-27"
35032;"RR_casos";;"casos";"0";"2023-12-27"
35033;"RR_casos";;"casos";"0";"2023-12-27"
35034;"RR_casos";;"casos";"0";"2023-12-27"
35041;"RR_casos";;"casos";"0";"2023-12-27"
35051;"RR_casos";;"casos";"0";"2023-12-27"
35052;"RR_casos";;"casos";"0";"2023-12-27"
35061;"RR_casos";;"casos";"0";"2023-12-27"
35062;"RR_casos";;"casos";"0";"2023-12-27"
35063;"RR_casos";3.3371562803;"casos";">3";"2023-12-27"
35064;"RR_casos";;"casos";"0";"2023-12-27"
35065;"RR_casos";;"casos";"0";"2023-12-27"
35071;"RR_casos";;"casos";"0";"2023-12-27"
35072;"RR_casos";;"casos";"0";"2023-12-27"
35073;"RR_casos";;"casos";"0";"2023-12-27"
35074;"RR_casos";;"casos";"0";"2023-12-27"
35081;"RR_casos";;"casos";"0";"2023-12-27"
35082;"RR_casos";;"casos";"0";"2023-12-27"
35083;"RR_casos";;"casos";"0";"2023-12-27"
35091;"RR_casos";;"casos";"0";"2023-12-27"
35092;"RR_casos";;"casos";"0";"2023-12-27"
35093;"RR_casos";;"casos";"0";"2023-12-27"
35094;"RR_casos";;"casos";"0";"2023-12-27"
35095;"RR_casos";;"casos";"0";"2023-12-27"
35101;"RR_casos";;"casos";"0";"2023-12-27"
35102;"RR_casos";;"casos";"0";"2023-12-27"
35103;"RR_casos";;"casos";"0";"2023-12-27"
35104;"RR_casos";;"casos";"0";"2023-12-27"
35111;"RR_casos";;"casos";"0";"2023-12-27"
35112;"RR_casos";;"casos";"0";"2023-12-27"
35113;"RR_casos";;"casos";"0";"2023-12-27"
35114;"RR_casos";;"casos";"0";"2023-12-27"
35115;"RR_casos";;"casos";"0";"2023-12-27"
35121;"RR_casos";;"casos";"0";"2023-12-27"
35131;"RR_casos";;"casos";"0";"2023-12-27"
35132;"RR_casos";;"casos";"0";"2023-12-27"
35133;"RR_casos";;"casos";"0";"2023-12-27"
35141;"RR_casos";;"casos";"0";"2023-12-27"
35142;"RR_casos";;"casos";"0";"2023-12-27"
35143;"RR_casos";;"casos";"0";"2023-12-27"
35151;"RR_casos";;"casos";"0";"2023-12-27"
35152;"RR_casos";;"casos";"0";"2023-12-27"
35153;"RR_casos";;"casos";"0";"2023-12-27"
35154;"RR_casos";;"casos";"0";"2023-12-27"
35155;"RR_casos";2.3687711258;"casos";"2.0-3.0";"2023-12-27"
35156;"RR_casos";2.3687711258;"casos";"2.0-3.0";"2023-12-27"
35157;"RR_casos";;"casos";"0";"2023-12-27"
35161;"RR_casos";;"casos";"0";"2023-12-27"
35162;"RR_casos";;"casos";"0";"2023-12-27"
35163;"RR_casos";;"casos";"0";"2023-12-27"
